a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;a a 2 a 0 2 a 0;0 a 2 0 a 2 a a;a 2 2 0 0 a a a;a a a 0 0 2 2 a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
0.34703353;0.34703353; -0.34703353; -0.34703353;0.34703353;0.34703353; -0.34703353; -0.34703353;200
0.34703352;0.34703352; -0.34703352; -0.34703352;0.34703352;0.34703352; -0.34703352; -0.34703352;205
0.34703352;0.34703352; -0.34703352; -0.34703352;0.34703352;0.34703352; -0.34703352; -0.34703352;210
0.34703351;0.34703351; -0.34703351; -0.34703351;0.34703351;0.34703351; -0.34703351; -0.34703351;215
0.34703351;0.34703351; -0.34703351; -0.34703351;0.34703351;0.34703351; -0.34703351; -0.34703351;220
0.34703351;0.34703351; -0.34703351; -0.34703351;0.34703351;0.34703351; -0.34703351; -0.34703351;225
0.34703350;0.34703350; -0.34703350; -0.34703350;0.34703350;0.34703350; -0.34703350; -0.34703350;230
0.34703350;0.34703350; -0.34703350; -0.34703350;0.34703350;0.34703350; -0.34703350; -0.34703350;235
0.34703350;0.34703350; -0.34703350; -0.34703350;0.34703350;0.34703350; -0.34703350; -0.34703350;240
0.34703350;0.34703350; -0.34703350; -0.34703350;0.34703350;0.34703350; -0.34703350; -0.34703350;245
0.34703350;0.34703350; -0.34703350; -0.34703350;0.34703350;0.34703350; -0.34703350; -0.34703350;250
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;255
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;260
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;265
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;270
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;275
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;280
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;285
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;290
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;295
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;300
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;305
0.34703349;0.34703349; -0.34703349; -0.34703349;0.34703349;0.34703349; -0.34703349; -0.34703349;310
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;315
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;320
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;325
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;330
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;335
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;340
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;345
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;350
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;355
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;360
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;365
0.34703348;0.34703348; -0.34703348; -0.34703348;0.34703348;0.34703348; -0.34703348; -0.34703348;370
