a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;0 a a a 0 2 2 a;a 2 2 0 a a a 0;a a a 0 a 2 2 0;Z
0.34927973; -0.34927970; -0.34927982;0.34927980; -0.34949111;0.34949109;0.34949120; -0.34949118;100
0.34930061; -0.34930060; -0.34930070;0.34930070; -0.34946992;0.34946992;0.34947001; -0.34947001;105
0.34931675; -0.34931675; -0.34931685;0.34931685; -0.34945355;0.34945355;0.34945364; -0.34945364;110
0.34932935; -0.34932935; -0.34932945;0.34932945; -0.34944078;0.34944078;0.34944087; -0.34944087;115
0.34933928; -0.34933928; -0.34933937;0.34933937; -0.34943072;0.34943072;0.34943081; -0.34943081;120
0.34934716; -0.34934716; -0.34934725;0.34934725; -0.34942273;0.34942273;0.34942282; -0.34942282;125
0.34935347; -0.34935347; -0.34935356;0.34935356; -0.34941634;0.34941634;0.34941643; -0.34941643;130
0.34935856; -0.34935856; -0.34935865;0.34935865; -0.34941119;0.34941119;0.34941128; -0.34941128;135
0.34936269; -0.34936269; -0.34936279;0.34936279; -0.34940700;0.34940700;0.34940709; -0.34940709;140
0.34936607; -0.34936607; -0.34936617;0.34936617; -0.34940358;0.34940358;0.34940367; -0.34940367;145
0.34936885; -0.34936885; -0.34936895;0.34936895; -0.34940077;0.34940077;0.34940086; -0.34940086;150
0.34937115; -0.34937115; -0.34937125;0.34937125; -0.34939844;0.34939844;0.34939853; -0.34939853;155
0.34937306; -0.34937306; -0.34937316;0.34937316; -0.34939650;0.34939650;0.34939659; -0.34939659;160
0.34937466; -0.34937466; -0.34937476;0.34937476; -0.34939488;0.34939488;0.34939497; -0.34939497;165
0.34937601; -0.34937601; -0.34937611;0.34937611; -0.34939352;0.34939352;0.34939361; -0.34939361;170
0.34937715; -0.34937715; -0.34937724;0.34937724; -0.34939237;0.34939237;0.34939246; -0.34939246;175
0.34937811; -0.34937811; -0.34937821;0.34937821; -0.34939140;0.34939140;0.34939149; -0.34939149;180
