0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;Z
 -0.34828931; -0.34828931; -0.34828931; -0.34828931;0.34828940;0.34828940;0.34828940;0.34828940;200
 -0.34828931; -0.34828931; -0.34828931; -0.34828931;0.34828940;0.34828940;0.34828940;0.34828940;205
 -0.34828930; -0.34828930; -0.34828931; -0.34828931;0.34828940;0.34828940;0.34828940;0.34828940;210
 -0.34828930; -0.34828930; -0.34828931; -0.34828931;0.34828939;0.34828939;0.34828940;0.34828940;215
 -0.34828930; -0.34828930; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828940;0.34828940;220
 -0.34828930; -0.34828930; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;225
 -0.34828930; -0.34828930; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;230
 -0.34828930; -0.34828930; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;235
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;240
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;245
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;250
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828939;0.34828939;0.34828939;0.34828939;255
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828938;0.34828938;0.34828939;0.34828939;260
 -0.34828929; -0.34828929; -0.34828930; -0.34828930;0.34828938;0.34828938;0.34828939;0.34828939;265
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;270
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;275
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;280
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;285
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;290
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;295
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;300
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;305
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828939;0.34828939;310
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;315
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;320
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;325
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;330
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;335
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;340
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;345
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;350
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;355
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;360
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;365
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;370
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;375
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;380
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;385
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;390
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;395
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;400
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;405
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;410
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;415
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;420
 -0.34828929; -0.34828929; -0.34828929; -0.34828929;0.34828938;0.34828938;0.34828938;0.34828938;425
