a 2 a a 0 a 2 0;a a 2 a 0 2 a 0;0 2 a 0 a a 2 a;0 a 2 0 a 2 a a;0 2 2 a a a a 0;a 2 2 0 0 a a a;0 a a a a 2 2 0;a a a 0 0 2 2 a;Z
 -0.34927977; -0.34927977;0.34927975;0.34927975;0.34949116;0.34949116; -0.34949113; -0.34949113;100
 -0.34930065; -0.34930065;0.34930065;0.34930065;0.34946996;0.34946996; -0.34946996; -0.34946996;105
 -0.34931680; -0.34931680;0.34931680;0.34931680;0.34945359;0.34945359; -0.34945359; -0.34945359;110
 -0.34932940; -0.34932940;0.34932940;0.34932940;0.34944082;0.34944082; -0.34944082; -0.34944082;115
 -0.34933932; -0.34933932;0.34933932;0.34933932;0.34943076;0.34943076; -0.34943076; -0.34943076;120
 -0.34934721; -0.34934721;0.34934721;0.34934721;0.34942278;0.34942278; -0.34942278; -0.34942278;125
 -0.34935352; -0.34935352;0.34935352;0.34935352;0.34941639;0.34941639; -0.34941639; -0.34941639;130
 -0.34935861; -0.34935861;0.34935861;0.34935861;0.34941123;0.34941123; -0.34941123; -0.34941123;135
 -0.34936274; -0.34936274;0.34936274;0.34936274;0.34940705;0.34940705; -0.34940705; -0.34940705;140
 -0.34936612; -0.34936612;0.34936612;0.34936612;0.34940363;0.34940363; -0.34940363; -0.34940363;145
 -0.34936890; -0.34936890;0.34936890;0.34936890;0.34940081;0.34940081; -0.34940081; -0.34940081;150
 -0.34937120; -0.34937120;0.34937120;0.34937120;0.34939848;0.34939848; -0.34939848; -0.34939848;155
 -0.34937311; -0.34937311;0.34937311;0.34937311;0.34939655;0.34939655; -0.34939655; -0.34939655;160
 -0.34937471; -0.34937471;0.34937471;0.34937471;0.34939493;0.34939493; -0.34939493; -0.34939493;165
 -0.34937606; -0.34937606;0.34937606;0.34937606;0.34939357;0.34939357; -0.34939357; -0.34939357;170
 -0.34937719; -0.34937719;0.34937719;0.34937719;0.34939242;0.34939242; -0.34939242; -0.34939242;175
 -0.34937816; -0.34937816;0.34937816;0.34937816;0.34939144;0.34939144; -0.34939144; -0.34939144;180
 -0.34937898; -0.34937898;0.34937898;0.34937898;0.34939061;0.34939061; -0.34939061; -0.34939061;185
 -0.34937968; -0.34937968;0.34937968;0.34937968;0.34938990;0.34938990; -0.34938990; -0.34938990;190
 -0.34938028; -0.34938028;0.34938028;0.34938028;0.34938930;0.34938930; -0.34938930; -0.34938930;195
 -0.34938080; -0.34938080;0.34938080;0.34938080;0.34938877;0.34938877; -0.34938877; -0.34938877;200
 -0.34938125; -0.34938125;0.34938125;0.34938125;0.34938832;0.34938832; -0.34938832; -0.34938832;205
 -0.34938164; -0.34938164;0.34938164;0.34938164;0.34938792;0.34938792; -0.34938792; -0.34938792;210
 -0.34938198; -0.34938198;0.34938198;0.34938198;0.34938758;0.34938758; -0.34938758; -0.34938758;215
 -0.34938228; -0.34938228;0.34938228;0.34938228;0.34938728;0.34938728; -0.34938728; -0.34938728;220
 -0.34938253; -0.34938253;0.34938253;0.34938253;0.34938702;0.34938702; -0.34938702; -0.34938702;225
 -0.34938276; -0.34938276;0.34938276;0.34938276;0.34938679;0.34938679; -0.34938679; -0.34938679;230
 -0.34938296; -0.34938296;0.34938296;0.34938296;0.34938659;0.34938659; -0.34938659; -0.34938659;235
 -0.34938314; -0.34938314;0.34938314;0.34938314;0.34938641;0.34938641; -0.34938641; -0.34938641;240
 -0.34938330; -0.34938330;0.34938330;0.34938330;0.34938625;0.34938625; -0.34938625; -0.34938625;245
 -0.34938343; -0.34938343;0.34938343;0.34938343;0.34938611;0.34938611; -0.34938611; -0.34938611;250
 -0.34938356; -0.34938356;0.34938356;0.34938356;0.34938598;0.34938598; -0.34938598; -0.34938598;255
 -0.34938367; -0.34938367;0.34938367;0.34938367;0.34938587;0.34938587; -0.34938587; -0.34938587;260
 -0.34938377; -0.34938377;0.34938377;0.34938377;0.34938577;0.34938577; -0.34938577; -0.34938577;265
 -0.34938385; -0.34938385;0.34938385;0.34938385;0.34938569;0.34938569; -0.34938569; -0.34938569;270
 -0.34938393; -0.34938393;0.34938393;0.34938393;0.34938561;0.34938561; -0.34938561; -0.34938561;275
 -0.34938400; -0.34938400;0.34938400;0.34938400;0.34938553;0.34938553; -0.34938553; -0.34938553;280
 -0.34938407; -0.34938407;0.34938407;0.34938407;0.34938547;0.34938547; -0.34938547; -0.34938547;285
 -0.34938412; -0.34938412;0.34938412;0.34938412;0.34938541;0.34938541; -0.34938541; -0.34938541;290
 -0.34938418; -0.34938418;0.34938418;0.34938418;0.34938536;0.34938536; -0.34938536; -0.34938536;295
 -0.34938422; -0.34938422;0.34938422;0.34938422;0.34938531;0.34938531; -0.34938531; -0.34938531;300
 -0.34938427; -0.34938427;0.34938427;0.34938427;0.34938527;0.34938527; -0.34938527; -0.34938527;305
 -0.34938430; -0.34938430;0.34938430;0.34938430;0.34938523;0.34938523; -0.34938523; -0.34938523;310
 -0.34938434; -0.34938434;0.34938434;0.34938434;0.34938520;0.34938520; -0.34938520; -0.34938520;315
 -0.34938437; -0.34938437;0.34938437;0.34938437;0.34938516;0.34938516; -0.34938516; -0.34938516;320
 -0.34938440; -0.34938440;0.34938440;0.34938440;0.34938513;0.34938513; -0.34938513; -0.34938513;325
 -0.34938443; -0.34938443;0.34938443;0.34938443;0.34938511;0.34938511; -0.34938511; -0.34938511;330
 -0.34938445; -0.34938445;0.34938445;0.34938445;0.34938508;0.34938508; -0.34938508; -0.34938508;335
 -0.34938447; -0.34938447;0.34938447;0.34938447;0.34938506;0.34938506; -0.34938506; -0.34938506;340
 -0.34938449; -0.34938449;0.34938449;0.34938449;0.34938504;0.34938504; -0.34938504; -0.34938504;345
 -0.34938451; -0.34938451;0.34938451;0.34938451;0.34938502;0.34938502; -0.34938502; -0.34938502;350
 -0.34938453; -0.34938453;0.34938453;0.34938453;0.34938500;0.34938500; -0.34938500; -0.34938500;355
 -0.34938455; -0.34938455;0.34938455;0.34938455;0.34938499;0.34938499; -0.34938499; -0.34938499;360
 -0.34938456; -0.34938456;0.34938456;0.34938456;0.34938497;0.34938497; -0.34938497; -0.34938497;365
 -0.34938457; -0.34938457;0.34938457;0.34938457;0.34938496;0.34938496; -0.34938496; -0.34938496;370
 -0.34938459; -0.34938459;0.34938459;0.34938459;0.34938495;0.34938495; -0.34938495; -0.34938495;375
 -0.34938460; -0.34938460;0.34938460;0.34938460;0.34938494;0.34938494; -0.34938494; -0.34938494;380
 -0.34938461; -0.34938461;0.34938461;0.34938461;0.34938492;0.34938492; -0.34938492; -0.34938492;385
 -0.34938462; -0.34938462;0.34938462;0.34938462;0.34938491;0.34938491; -0.34938491; -0.34938491;390
 -0.34938463; -0.34938463;0.34938463;0.34938463;0.34938491;0.34938491; -0.34938491; -0.34938491;395
 -0.34938463; -0.34938463;0.34938463;0.34938463;0.34938490;0.34938490; -0.34938490; -0.34938490;400
 -0.34938464; -0.34938464;0.34938464;0.34938464;0.34938489;0.34938489; -0.34938489; -0.34938489;405
 -0.34938465; -0.34938465;0.34938465;0.34938465;0.34938488;0.34938488; -0.34938488; -0.34938488;410
 -0.34938466; -0.34938466;0.34938466;0.34938466;0.34938487;0.34938487; -0.34938487; -0.34938487;415
 -0.34938466; -0.34938466;0.34938466;0.34938466;0.34938487;0.34938487; -0.34938487; -0.34938487;420
 -0.34938467; -0.34938467;0.34938467;0.34938467;0.34938486;0.34938486; -0.34938486; -0.34938486;425
 -0.34938467; -0.34938467;0.34938467;0.34938467;0.34938486;0.34938486; -0.34938486; -0.34938486;430
 -0.34938468; -0.34938468;0.34938468;0.34938468;0.34938485;0.34938485; -0.34938485; -0.34938485;435
 -0.34938468; -0.34938468;0.34938468;0.34938468;0.34938485;0.34938485; -0.34938485; -0.34938485;440
 -0.34938469; -0.34938469;0.34938469;0.34938469;0.34938484;0.34938484; -0.34938484; -0.34938484;445
 -0.34938469; -0.34938469;0.34938469;0.34938469;0.34938484;0.34938484; -0.34938484; -0.34938484;450
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;455
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;460
 -0.34938470; -0.34938470;0.34938470;0.34938470;0.34938483;0.34938483; -0.34938483; -0.34938483;465
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;470
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;475
 -0.34938471; -0.34938471;0.34938471;0.34938471;0.34938482;0.34938482; -0.34938482; -0.34938482;480
 -0.34938472; -0.34938472;0.34938472;0.34938472;0.34938482;0.34938482; -0.34938482; -0.34938482;485
