0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a a 2 0 0 a 2 a;0 a 2 a a a 2 0;a 2 a 0 0 2 a a;0 2 a a a 2 a 0;a a 2 0 a 2 a 0;a 2 a 0 a a 2 0;Z
 -0.35293523; -0.35293523;0.35293523;0.35293523; -0.35293514; -0.35293514;0.35293514;0.35293514;100
 -0.35293521; -0.35293521;0.35293520;0.35293520; -0.35293512; -0.35293512;0.35293511;0.35293511;105
 -0.35293519; -0.35293519;0.35293518;0.35293518; -0.35293510; -0.35293510;0.35293509;0.35293509;110
 -0.35293517; -0.35293517;0.35293517;0.35293517; -0.35293508; -0.35293508;0.35293508;0.35293508;115
 -0.35293516; -0.35293516;0.35293516;0.35293516; -0.35293507; -0.35293507;0.35293507;0.35293507;120
 -0.35293515; -0.35293515;0.35293515;0.35293515; -0.35293506; -0.35293506;0.35293506;0.35293506;125
 -0.35293515; -0.35293515;0.35293514;0.35293514; -0.35293505; -0.35293505;0.35293505;0.35293505;130
 -0.35293514; -0.35293514;0.35293514;0.35293514; -0.35293505; -0.35293505;0.35293504;0.35293504;135
 -0.35293514; -0.35293514;0.35293513;0.35293513; -0.35293504; -0.35293504;0.35293504;0.35293504;140
 -0.35293513; -0.35293513;0.35293513;0.35293513; -0.35293504; -0.35293504;0.35293504;0.35293504;145
 -0.35293513; -0.35293513;0.35293513;0.35293513; -0.35293504; -0.35293504;0.35293503;0.35293503;150
 -0.35293513; -0.35293513;0.35293512;0.35293512; -0.35293504; -0.35293504;0.35293503;0.35293503;155
 -0.35293513; -0.35293513;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293503;0.35293503;160
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293503;0.35293503;165
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293503;0.35293503;170
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293503;0.35293503;175
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293503;0.35293503;180
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293502;0.35293502;185
 -0.35293512; -0.35293512;0.35293512;0.35293512; -0.35293503; -0.35293503;0.35293502;0.35293502;190
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;195
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;200
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;205
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;210
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;215
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;220
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;225
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293503; -0.35293503;0.35293502;0.35293502;230
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;235
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;240
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;245
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;250
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;255
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;260
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;265
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;270
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;275
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;280
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;285
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;290
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;295
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;300
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;305
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;310
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;315
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;320
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;325
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;330
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;335
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;340
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;345
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;350
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;355
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;360
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;365
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;370
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;375
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;380
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;385
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;390
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;395
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;400
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;405
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;410
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;415
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;420
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;425
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;430
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;435
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;440
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;445
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;450
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;455
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;460
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;465
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;470
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;475
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;480
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;485
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;490
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;495
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;500
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;505
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;510
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;515
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;520
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;525
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;530
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;535
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;540
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;545
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;550
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;555
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;560
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;565
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;570
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;575
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;580
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;585
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;590
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;595
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;600
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;605
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;610
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;615
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;620
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;625
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;630
 -0.35293512; -0.35293512;0.35293511;0.35293511; -0.35293502; -0.35293502;0.35293502;0.35293502;635
