a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
0.35193341;0.35193341; -0.35193338; -0.35193338;0.35172463;0.35172463; -0.35172460; -0.35172460;100
0.35191253;0.35191253; -0.35191253; -0.35191253;0.35174531;0.35174531; -0.35174530; -0.35174530;105
0.35189640;0.35189640; -0.35189640; -0.35189640;0.35176129;0.35176129; -0.35176129; -0.35176129;110
0.35188381;0.35188381; -0.35188381; -0.35188381;0.35177376;0.35177376; -0.35177376; -0.35177376;115
0.35187390;0.35187390; -0.35187390; -0.35187390;0.35178358;0.35178358; -0.35178358; -0.35178358;120
0.35186602;0.35186602; -0.35186602; -0.35186602;0.35179138;0.35179138; -0.35179138; -0.35179138;125
0.35185972;0.35185972; -0.35185972; -0.35185972;0.35179762;0.35179762; -0.35179762; -0.35179762;130
0.35185463;0.35185463; -0.35185463; -0.35185463;0.35180266;0.35180266; -0.35180266; -0.35180266;135
0.35185050;0.35185050; -0.35185050; -0.35185050;0.35180674;0.35180674; -0.35180674; -0.35180674;140
0.35184713;0.35184713; -0.35184713; -0.35184713;0.35181008;0.35181008; -0.35181008; -0.35181008;145
0.35184435;0.35184435; -0.35184435; -0.35184435;0.35181283;0.35181283; -0.35181283; -0.35181283;150
0.35184206;0.35184206; -0.35184206; -0.35184206;0.35181511;0.35181511; -0.35181511; -0.35181511;155
0.35184014;0.35184014; -0.35184014; -0.35184014;0.35181700;0.35181700; -0.35181700; -0.35181700;160
0.35183854;0.35183854; -0.35183854; -0.35183854;0.35181858;0.35181858; -0.35181858; -0.35181858;165
0.35183720;0.35183720; -0.35183720; -0.35183720;0.35181991;0.35181991; -0.35181991; -0.35181991;170
0.35183607;0.35183607; -0.35183607; -0.35183607;0.35182103;0.35182103; -0.35182103; -0.35182103;175
0.35183510;0.35183510; -0.35183510; -0.35183510;0.35182198;0.35182198; -0.35182198; -0.35182198;180
0.35183428;0.35183428; -0.35183428; -0.35183428;0.35182279;0.35182279; -0.35182279; -0.35182279;185
0.35183358;0.35183358; -0.35183358; -0.35183358;0.35182349;0.35182349; -0.35182349; -0.35182349;190
0.35183298;0.35183298; -0.35183298; -0.35183298;0.35182408;0.35182408; -0.35182408; -0.35182408;195
0.35183246;0.35183246; -0.35183246; -0.35183246;0.35182459;0.35182459; -0.35182459; -0.35182459;200
0.35183202;0.35183202; -0.35183202; -0.35183202;0.35182504;0.35182504; -0.35182504; -0.35182504;205
0.35183163;0.35183163; -0.35183163; -0.35183163;0.35182542;0.35182542; -0.35182542; -0.35182542;210
0.35183129;0.35183129; -0.35183129; -0.35183129;0.35182576;0.35182576; -0.35182576; -0.35182576;215
0.35183099;0.35183099; -0.35183099; -0.35183099;0.35182605;0.35182605; -0.35182605; -0.35182605;220
0.35183073;0.35183073; -0.35183073; -0.35183073;0.35182630;0.35182630; -0.35182630; -0.35182630;225
0.35183051;0.35183051; -0.35183051; -0.35183051;0.35182653;0.35182653; -0.35182653; -0.35182653;230
0.35183031;0.35183031; -0.35183031; -0.35183031;0.35182673;0.35182673; -0.35182673; -0.35182673;235
0.35183013;0.35183013; -0.35183013; -0.35183013;0.35182690;0.35182690; -0.35182690; -0.35182690;240
0.35182997;0.35182997; -0.35182997; -0.35182997;0.35182706;0.35182706; -0.35182706; -0.35182706;245
0.35182983;0.35182983; -0.35182983; -0.35182983;0.35182719;0.35182719; -0.35182719; -0.35182719;250
0.35182971;0.35182971; -0.35182971; -0.35182971;0.35182731;0.35182731; -0.35182731; -0.35182731;255
0.35182960;0.35182960; -0.35182960; -0.35182960;0.35182742;0.35182742; -0.35182742; -0.35182742;260
0.35182950;0.35182950; -0.35182950; -0.35182950;0.35182752;0.35182752; -0.35182752; -0.35182752;265
0.35182942;0.35182942; -0.35182942; -0.35182942;0.35182761;0.35182761; -0.35182761; -0.35182761;270
0.35182934;0.35182934; -0.35182934; -0.35182934;0.35182768;0.35182768; -0.35182768; -0.35182768;275
0.35182927;0.35182927; -0.35182927; -0.35182927;0.35182775;0.35182775; -0.35182775; -0.35182775;280
0.35182920;0.35182920; -0.35182920; -0.35182920;0.35182782;0.35182782; -0.35182782; -0.35182782;285
0.35182915;0.35182915; -0.35182915; -0.35182915;0.35182787;0.35182787; -0.35182787; -0.35182787;290
0.35182909;0.35182909; -0.35182909; -0.35182909;0.35182792;0.35182792; -0.35182792; -0.35182792;295
0.35182905;0.35182905; -0.35182905; -0.35182905;0.35182797;0.35182797; -0.35182797; -0.35182797;300
0.35182900;0.35182900; -0.35182900; -0.35182900;0.35182801;0.35182801; -0.35182801; -0.35182801;305
0.35182897;0.35182897; -0.35182897; -0.35182897;0.35182805;0.35182805; -0.35182805; -0.35182805;310
0.35182893;0.35182893; -0.35182893; -0.35182893;0.35182809;0.35182809; -0.35182809; -0.35182809;315
0.35182890;0.35182890; -0.35182890; -0.35182890;0.35182812;0.35182812; -0.35182812; -0.35182812;320
0.35182887;0.35182887; -0.35182887; -0.35182887;0.35182815;0.35182815; -0.35182815; -0.35182815;325
0.35182884;0.35182884; -0.35182884; -0.35182884;0.35182817;0.35182817; -0.35182817; -0.35182817;330
0.35182882;0.35182882; -0.35182882; -0.35182882;0.35182820;0.35182820; -0.35182820; -0.35182820;335
0.35182880;0.35182880; -0.35182880; -0.35182880;0.35182822;0.35182822; -0.35182822; -0.35182822;340
0.35182878;0.35182878; -0.35182878; -0.35182878;0.35182824;0.35182824; -0.35182824; -0.35182824;345
