0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.35195900;0.35195900;0.35306082;0.35306100;0.35335753; -0.35335750; -0.35335749;0.35335746; -0.00040021; -0.00040021; -0.00040021; -0.00040021;100
0.35211301;0.35211300;0.35307509;0.35307527;0.35327413; -0.35327412; -0.35327412;0.35327412; -0.00028185; -0.00028185; -0.00028185; -0.00028185;105
0.35222055;0.35222054;0.35309778;0.35309796;0.35320951; -0.35320951; -0.35320951;0.35320951; -0.00017854; -0.00017854; -0.00017854; -0.00017854;110
0.35229054;0.35229053;0.35312955;0.35312974;0.35315896; -0.35315896; -0.35315896;0.35315896; -0.00008375; -0.00008375; -0.00008375; -0.00008375;115
0.35232893;0.35232892;0.35317139;0.35317157;0.35311905; -0.35311905; -0.35311905;0.35311905;0.00000779;0.00000779;0.00000779;0.00000779;120
0.35233953;0.35233952;0.35322454;0.35322473;0.35308727; -0.35308727; -0.35308727;0.35308727;0.00010050;0.00010050;0.00010050;0.00010050;125
0.35232454;0.35232453;0.35329058;0.35329076;0.35306177; -0.35306177; -0.35306177;0.35306177;0.00019826;0.00019826;0.00019826;0.00019826;130
0.35228494;0.35228494;0.35337129;0.35337148;0.35304112; -0.35304112; -0.35304112;0.35304112;0.00030464;0.00030464;0.00030464;0.00030464;135
0.35222075;0.35222074;0.35346880;0.35346898;0.35302427; -0.35302427; -0.35302427;0.35302427;0.00042306;0.00042306;0.00042306;0.00042306;140
0.35213116;0.35213115;0.35358548;0.35358566;0.35301039; -0.35301039; -0.35301039;0.35301039;0.00055694;0.00055694;0.00055694;0.00055694;145
0.35201469;0.35201469;0.35372399;0.35372418;0.35299884; -0.35299884; -0.35299884;0.35299884;0.00070974;0.00070974;0.00070974;0.00070974;150
0.35186928;0.35186927;0.35388733;0.35388751;0.35298910; -0.35298910; -0.35298910;0.35298910;0.00088506;0.00088506;0.00088506;0.00088506;155
0.35169230;0.35169230;0.35407876;0.35407895;0.35298076; -0.35298076; -0.35298076;0.35298076;0.00108671;0.00108671;0.00108671;0.00108671;160
0.35148058;0.35148058;0.35430194;0.35430212;0.35297346; -0.35297346; -0.35297346;0.35297346;0.00131876;0.00131876;0.00131876;0.00131876;165
0.35123047;0.35123046;0.35456082;0.35456101;0.35296688; -0.35296688; -0.35296688;0.35296688;0.00158554;0.00158554;0.00158554;0.00158554;170
0.35093774;0.35093773;0.35485980;0.35485998;0.35296074; -0.35296074; -0.35296074;0.35296074;0.00189176;0.00189176;0.00189176;0.00189176;175
0.35059779;0.35059779;0.35520349;0.35520368;0.35295476; -0.35295476; -0.35295476;0.35295476;0.00224238;0.00224238;0.00224238;0.00224238;180
0.35020533;0.35020532;0.35559711;0.35559729;0.35294864; -0.35294864; -0.35294864;0.35294864;0.00264292;0.00264292;0.00264292;0.00264292;185
0.34975463;0.34975462;0.35604611;0.35604629;0.35294206; -0.35294206; -0.35294206;0.35294206;0.00309919;0.00309919;0.00309919;0.00309919;190
0.34923932;0.34923931;0.35655648;0.35655666;0.35293466; -0.35293466; -0.35293466;0.35293466;0.00361755;0.00361755;0.00361755;0.00361755;195
0.34865254;0.34865253;0.35713447;0.35713466;0.35292603; -0.35292603; -0.35292603;0.35292603;0.00420468;0.00420468;0.00420468;0.00420468;200
0.34798669;0.34798668;0.35778694;0.35778712;0.35291566; -0.35291566; -0.35291566;0.35291566;0.00486795;0.00486795;0.00486795;0.00486795;205
0.34723353;0.34723353;0.35852108;0.35852126;0.35290297; -0.35290297; -0.35290297;0.35290297;0.00561516;0.00561516;0.00561516;0.00561516;210
0.34638403;0.34638402;0.35934463;0.35934481;0.35288721; -0.35288721; -0.35288721;0.35288721;0.00645480;0.00645480;0.00645480;0.00645480;215
0.34542872;0.34542871;0.36026542;0.36026561;0.35286754; -0.35286754; -0.35286754;0.35286754;0.00739556;0.00739556;0.00739556;0.00739556;220
0.34435707;0.34435706;0.36129198;0.36129216;0.35284286; -0.35284286; -0.35284286;0.35284286;0.00844704;0.00844704;0.00844704;0.00844704;225
