0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.35713206;0.35713205; -0.34868704; -0.34868722; -0.00422285;0.00422285; -0.00422285;0.00422285; -0.35291003; -0.35291003; -0.35291003; -0.35291003;200
0.35778471;0.35778470; -0.34801731; -0.34801749; -0.00488405;0.00488405; -0.00488405;0.00488405; -0.35290150; -0.35290150; -0.35290150; -0.35290150;205
0.35851894;0.35851893; -0.34726087; -0.34726105; -0.00562940;0.00562940; -0.00562940;0.00562940; -0.35289040; -0.35289040; -0.35289040; -0.35289040;210
0.35934275;0.35934275; -0.34640831; -0.34640849; -0.00646759;0.00646759; -0.00646759;0.00646759; -0.35287604; -0.35287604; -0.35287604; -0.35287604;215
0.36026347;0.36026346; -0.34545066; -0.34545084; -0.00740679;0.00740679; -0.00740679;0.00740679; -0.35285758; -0.35285758; -0.35285758; -0.35285758;220
0.36129050;0.36129049; -0.34437637; -0.34437655; -0.00845746;0.00845746; -0.00845746;0.00845746; -0.35283397; -0.35283397; -0.35283397; -0.35283397;225
0.36243160;0.36243160; -0.34317523; -0.34317541; -0.00962859;0.00962859; -0.00962859;0.00962859; -0.35280396; -0.35280396; -0.35280396; -0.35280396;230
0.36369685;0.36369684; -0.34183403; -0.34183420; -0.01093182;0.01093182; -0.01093182;0.01093182; -0.35276599; -0.35276599; -0.35276599; -0.35276599;235
0.36509527;0.36509527; -0.34034002; -0.34034020; -0.01237805;0.01237805; -0.01237805;0.01237805; -0.35271821; -0.35271821; -0.35271821; -0.35271821;240
0.36663580;0.36663579; -0.33867989; -0.33868006; -0.01397839;0.01397839; -0.01397839;0.01397839; -0.35265842; -0.35265842; -0.35265842; -0.35265842;245
0.36832898;0.36832897; -0.33683769; -0.33683787; -0.01574609;0.01574609; -0.01574609;0.01574609; -0.35258392; -0.35258392; -0.35258392; -0.35258392;250
0.37018425;0.37018424; -0.33479767; -0.33479785; -0.01769374;0.01769374; -0.01769374;0.01769374; -0.35249156; -0.35249156; -0.35249156; -0.35249156;255
0.37221034;0.37221033; -0.33254370; -0.33254387; -0.01983378;0.01983378; -0.01983378;0.01983378; -0.35237763; -0.35237763; -0.35237763; -0.35237763;260
0.37441725;0.37441724; -0.33005691; -0.33005708; -0.02218064;0.02218064; -0.02218064;0.02218064; -0.35223770; -0.35223770; -0.35223770; -0.35223770;265
0.37681193;0.37681192; -0.32732034; -0.32732051; -0.02474628;0.02474628; -0.02474628;0.02474628; -0.35206676; -0.35206676; -0.35206676; -0.35206676;270
0.37940324;0.37940323; -0.32431313; -0.32431330; -0.02754554;0.02754554; -0.02754554;0.02754554; -0.35185882; -0.35185882; -0.35185882; -0.35185882;275
0.38219686;0.38219685; -0.32101616; -0.32101633; -0.03059085;0.03059085; -0.03059085;0.03059085; -0.35160716; -0.35160716; -0.35160716; -0.35160716;280
0.38519704;0.38519703; -0.31740991; -0.31741007; -0.03389407;0.03389407; -0.03389407;0.03389407; -0.35130413; -0.35130413; -0.35130413; -0.35130413;285
0.38840705;0.38840704; -0.31347370; -0.31347386; -0.03746719;0.03746719; -0.03746719;0.03746719; -0.35094104; -0.35094104; -0.35094104; -0.35094104;290
