a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;0 a 2 0 a 2 a a;0 2 2 a a a a 0;a 2 2 0 0 a a a;0 a a a a 2 2 0;a a a 0 0 2 2 a;Z
 -0.34471715;0.34471715;0.34471713; -0.34471713; -0.34471715;0.34471715; -0.34471713;0.34471713;100
 -0.34471688;0.34471688;0.34471687; -0.34471687; -0.34471688;0.34471688; -0.34471687;0.34471687;105
 -0.34471666;0.34471666;0.34471666; -0.34471666; -0.34471666;0.34471666; -0.34471666;0.34471666;110
 -0.34471650;0.34471650;0.34471650; -0.34471650; -0.34471650;0.34471650; -0.34471650;0.34471650;115
 -0.34471637;0.34471637;0.34471637; -0.34471637; -0.34471637;0.34471637; -0.34471637;0.34471637;120
 -0.34471626;0.34471626;0.34471626; -0.34471626; -0.34471626;0.34471626; -0.34471626;0.34471626;125
 -0.34471618;0.34471618;0.34471618; -0.34471618; -0.34471618;0.34471618; -0.34471618;0.34471618;130
 -0.34471611;0.34471611;0.34471611; -0.34471611; -0.34471611;0.34471611; -0.34471611;0.34471611;135
 -0.34471605;0.34471605;0.34471605; -0.34471605; -0.34471605;0.34471605; -0.34471605;0.34471605;140
 -0.34471600;0.34471600;0.34471600; -0.34471600; -0.34471600;0.34471600; -0.34471600;0.34471600;145
 -0.34471596;0.34471596;0.34471596; -0.34471596; -0.34471596;0.34471596; -0.34471596;0.34471596;150
 -0.34471593;0.34471593;0.34471593; -0.34471593; -0.34471593;0.34471593; -0.34471593;0.34471593;155
 -0.34471591;0.34471591;0.34471591; -0.34471591; -0.34471591;0.34471591; -0.34471591;0.34471591;160
 -0.34471588;0.34471588;0.34471588; -0.34471588; -0.34471588;0.34471588; -0.34471588;0.34471588;165
 -0.34471586;0.34471586;0.34471586; -0.34471586; -0.34471586;0.34471586; -0.34471586;0.34471586;170
 -0.34471585;0.34471585;0.34471585; -0.34471585; -0.34471585;0.34471585; -0.34471585;0.34471585;175
 -0.34471584;0.34471584;0.34471584; -0.34471584; -0.34471584;0.34471584; -0.34471584;0.34471584;180
 -0.34471582;0.34471582;0.34471582; -0.34471582; -0.34471582;0.34471582; -0.34471582;0.34471582;185
 -0.34471581;0.34471581;0.34471581; -0.34471581; -0.34471581;0.34471581; -0.34471581;0.34471581;190
 -0.34471581;0.34471581;0.34471581; -0.34471581; -0.34471581;0.34471581; -0.34471581;0.34471581;195
 -0.34471580;0.34471580;0.34471580; -0.34471580; -0.34471580;0.34471580; -0.34471580;0.34471580;200
 -0.34471579;0.34471579;0.34471579; -0.34471579; -0.34471579;0.34471579; -0.34471579;0.34471579;205
 -0.34471579;0.34471579;0.34471579; -0.34471579; -0.34471579;0.34471579; -0.34471579;0.34471579;210
 -0.34471578;0.34471578;0.34471578; -0.34471578; -0.34471578;0.34471578; -0.34471578;0.34471578;215
 -0.34471578;0.34471578;0.34471578; -0.34471578; -0.34471578;0.34471578; -0.34471578;0.34471578;220
 -0.34471577;0.34471577;0.34471577; -0.34471577; -0.34471577;0.34471577; -0.34471577;0.34471577;225
 -0.34471577;0.34471577;0.34471577; -0.34471577; -0.34471577;0.34471577; -0.34471577;0.34471577;230
 -0.34471577;0.34471577;0.34471577; -0.34471577; -0.34471577;0.34471577; -0.34471577;0.34471577;235
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;240
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;245
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;250
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;255
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;260
 -0.34471576;0.34471576;0.34471576; -0.34471576; -0.34471576;0.34471576; -0.34471576;0.34471576;265
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;270
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;275
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;280
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;285
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;290
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;295
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;300
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;305
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;310
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;315
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;320
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;325
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;330
 -0.34471575;0.34471575;0.34471575; -0.34471575; -0.34471575;0.34471575; -0.34471575;0.34471575;335
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;340
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;345
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;350
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;355
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;360
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;365
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;370
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;375
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;380
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;385
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;390
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;395
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;400
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;405
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;410
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;415
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;420
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;425
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;430
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;435
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;440
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;445
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;450
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;455
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;460
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;465
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;470
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;475
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;480
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;485
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;490
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;495
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;500
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;505
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;510
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;515
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;520
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;525
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;530
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;535
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;540
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;545
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;550
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;555
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;560
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;565
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;570
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;575
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;580
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;585
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;590
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;595
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;600
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;605
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;610
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;615
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;620
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;625
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;630
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;635
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;640
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;645
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;650
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;655
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;660
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;665
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;670
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;675
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;680
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;685
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;690
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;695
 -0.34471574;0.34471574;0.34471574; -0.34471574; -0.34471574;0.34471574; -0.34471574;0.34471574;700
