a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 2 0 a a a 0;0 2 2 a 0 a a a;a a a 0 a 2 2 0;0 a a a 0 2 2 a;Z
0.34771102; -0.34771099; -0.34771103;0.34771101; -0.34777581;0.34777585;0.34777578; -0.34777583;100
0.34771766; -0.34771766; -0.34771768;0.34771767; -0.34776877;0.34776882;0.34776877; -0.34776881;105
0.34772270; -0.34772270; -0.34772271;0.34772271; -0.34776344;0.34776348;0.34776344; -0.34776348;110
0.34772656; -0.34772656; -0.34772657;0.34772657; -0.34775935;0.34775939;0.34775935; -0.34775939;115
0.34772955; -0.34772955; -0.34772956;0.34772956; -0.34775618;0.34775622;0.34775618; -0.34775622;120
0.34773189; -0.34773189; -0.34773190;0.34773190; -0.34775369;0.34775373;0.34775369; -0.34775373;125
0.34773374; -0.34773374; -0.34773375;0.34773375; -0.34775172;0.34775176;0.34775172; -0.34775176;130
0.34773521; -0.34773521; -0.34773522;0.34773522; -0.34775015;0.34775019;0.34775015; -0.34775019;135
0.34773639; -0.34773639; -0.34773641;0.34773641; -0.34774888;0.34774893;0.34774888; -0.34774893;140
0.34773735; -0.34773735; -0.34773737;0.34773737; -0.34774786;0.34774790;0.34774786; -0.34774790;145
0.34773813; -0.34773813; -0.34773815;0.34773815; -0.34774702;0.34774707;0.34774702; -0.34774707;150
0.34773878; -0.34773878; -0.34773879;0.34773879; -0.34774634;0.34774638;0.34774634; -0.34774638;155
0.34773931; -0.34773931; -0.34773932;0.34773932; -0.34774577;0.34774581;0.34774577; -0.34774581;160
0.34773975; -0.34773975; -0.34773976;0.34773976; -0.34774529;0.34774534;0.34774529; -0.34774534;165
0.34774012; -0.34774012; -0.34774013;0.34774013; -0.34774490;0.34774495;0.34774490; -0.34774495;170
0.34774042; -0.34774042; -0.34774044;0.34774044; -0.34774457;0.34774461;0.34774457; -0.34774461;175
0.34774069; -0.34774069; -0.34774070;0.34774070; -0.34774429;0.34774433;0.34774429; -0.34774433;180
0.34774091; -0.34774091; -0.34774092;0.34774092; -0.34774405;0.34774410;0.34774405; -0.34774410;185
0.34774110; -0.34774110; -0.34774111;0.34774111; -0.34774385;0.34774389;0.34774385; -0.34774389;190
0.34774126; -0.34774126; -0.34774127;0.34774127; -0.34774367;0.34774372;0.34774367; -0.34774372;195
0.34774139; -0.34774139; -0.34774141;0.34774141; -0.34774353;0.34774357;0.34774353; -0.34774357;200
0.34774151; -0.34774151; -0.34774153;0.34774153; -0.34774340;0.34774344;0.34774340; -0.34774344;205
0.34774162; -0.34774162; -0.34774163;0.34774163; -0.34774329;0.34774333;0.34774329; -0.34774333;210
0.34774171; -0.34774171; -0.34774172;0.34774172; -0.34774319;0.34774324;0.34774319; -0.34774324;215
0.34774178; -0.34774178; -0.34774180;0.34774180; -0.34774311;0.34774315;0.34774311; -0.34774315;220
0.34774185; -0.34774185; -0.34774186;0.34774186; -0.34774303;0.34774308;0.34774303; -0.34774308;225
0.34774191; -0.34774191; -0.34774192;0.34774192; -0.34774297;0.34774301;0.34774297; -0.34774301;230
0.34774196; -0.34774196; -0.34774198;0.34774198; -0.34774291;0.34774296;0.34774291; -0.34774296;235
0.34774201; -0.34774201; -0.34774202;0.34774202; -0.34774286;0.34774291;0.34774286; -0.34774291;240
0.34774205; -0.34774205; -0.34774206;0.34774206; -0.34774282;0.34774286;0.34774282; -0.34774286;245
0.34774209; -0.34774209; -0.34774210;0.34774210; -0.34774278;0.34774282;0.34774278; -0.34774282;250
