a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;Z
 -0.00001246; -0.00001246;0.48491016;0.48491007; -0.24247377;0.24247375;0.24247375; -0.24247374; -0.24246129; -0.24246129; -0.24246129; -0.24246129;100
 -0.00000979; -0.00000979;0.48491234;0.48491225; -0.24247084;0.24247084;0.24247084; -0.24247084; -0.24246104; -0.24246104; -0.24246104; -0.24246104;105
 -0.00000778; -0.00000778;0.48491397;0.48491389; -0.24246864;0.24246864;0.24246864; -0.24246864; -0.24246085; -0.24246085; -0.24246085; -0.24246085;110
 -0.00000625; -0.00000625;0.48491520;0.48491512; -0.24246696;0.24246696;0.24246696; -0.24246696; -0.24246071; -0.24246071; -0.24246071; -0.24246071;115
 -0.00000506; -0.00000506;0.48491615;0.48491607; -0.24246565;0.24246565;0.24246565; -0.24246565; -0.24246059; -0.24246059; -0.24246059; -0.24246059;120
 -0.00000414; -0.00000414;0.48491689;0.48491681; -0.24246463;0.24246463;0.24246463; -0.24246463; -0.24246049; -0.24246049; -0.24246049; -0.24246049;125
 -0.00000341; -0.00000341;0.48491747;0.48491738; -0.24246382;0.24246382;0.24246382; -0.24246382; -0.24246042; -0.24246042; -0.24246042; -0.24246042;130
 -0.00000283; -0.00000283;0.48491792;0.48491784; -0.24246318;0.24246318;0.24246318; -0.24246318; -0.24246035; -0.24246035; -0.24246035; -0.24246035;135
 -0.00000236; -0.00000236;0.48491829;0.48491821; -0.24246266;0.24246266;0.24246266; -0.24246266; -0.24246030; -0.24246030; -0.24246030; -0.24246030;140
 -0.00000198; -0.00000198;0.48491858;0.48491850; -0.24246225;0.24246225;0.24246225; -0.24246225; -0.24246026; -0.24246026; -0.24246026; -0.24246026;145
 -0.00000168; -0.00000168;0.48491882;0.48491874; -0.24246190;0.24246190;0.24246190; -0.24246190; -0.24246023; -0.24246023; -0.24246023; -0.24246023;150
 -0.00000142; -0.00000142;0.48491901;0.48491893; -0.24246162;0.24246162;0.24246162; -0.24246162; -0.24246020; -0.24246020; -0.24246020; -0.24246020;155
 -0.00000122; -0.00000122;0.48491917;0.48491909; -0.24246139;0.24246139;0.24246139; -0.24246139; -0.24246018; -0.24246018; -0.24246018; -0.24246018;160
 -0.00000104; -0.00000104;0.48491931;0.48491923; -0.24246120;0.24246120;0.24246120; -0.24246120; -0.24246016; -0.24246016; -0.24246016; -0.24246016;165
 -0.00000090; -0.00000090;0.48491942;0.48491934; -0.24246104;0.24246104;0.24246104; -0.24246104; -0.24246014; -0.24246014; -0.24246014; -0.24246014;170
 -0.00000078; -0.00000078;0.48491951;0.48491943; -0.24246090;0.24246090;0.24246090; -0.24246090; -0.24246012; -0.24246012; -0.24246012; -0.24246012;175
 -0.00000068; -0.00000068;0.48491959;0.48491951; -0.24246079;0.24246079;0.24246079; -0.24246079; -0.24246011; -0.24246011; -0.24246011; -0.24246011;180
 -0.00000059; -0.00000059;0.48491965;0.48491957; -0.24246069;0.24246069;0.24246069; -0.24246069; -0.24246010; -0.24246010; -0.24246010; -0.24246010;185
 -0.00000052; -0.00000052;0.48491971;0.48491963; -0.24246061;0.24246061;0.24246061; -0.24246061; -0.24246009; -0.24246009; -0.24246009; -0.24246009;190
 -0.00000046; -0.00000046;0.48491976;0.48491967; -0.24246054;0.24246054;0.24246054; -0.24246054; -0.24246009; -0.24246009; -0.24246009; -0.24246009;195
 -0.00000040; -0.00000040;0.48491980;0.48491971; -0.24246048;0.24246048;0.24246048; -0.24246048; -0.24246008; -0.24246008; -0.24246008; -0.24246008;200
 -0.00000035; -0.00000035;0.48491983;0.48491975; -0.24246043;0.24246043;0.24246043; -0.24246043; -0.24246007; -0.24246007; -0.24246007; -0.24246007;205
 -0.00000031; -0.00000031;0.48491986;0.48491978; -0.24246038;0.24246038;0.24246038; -0.24246038; -0.24246007; -0.24246007; -0.24246007; -0.24246007;210
 -0.00000028; -0.00000028;0.48491989;0.48491981; -0.24246034;0.24246034;0.24246034; -0.24246034; -0.24246006; -0.24246006; -0.24246006; -0.24246006;215
 -0.00000025; -0.00000025;0.48491991;0.48491983; -0.24246031;0.24246031;0.24246031; -0.24246031; -0.24246006; -0.24246006; -0.24246006; -0.24246006;220
 -0.00000022; -0.00000022;0.48491993;0.48491985; -0.24246028;0.24246028;0.24246028; -0.24246028; -0.24246006; -0.24246006; -0.24246006; -0.24246006;225
 -0.00000020; -0.00000020;0.48491995;0.48491987; -0.24246025;0.24246025;0.24246025; -0.24246025; -0.24246005; -0.24246005; -0.24246005; -0.24246005;230
 -0.00000018; -0.00000018;0.48491996;0.48491988; -0.24246023;0.24246023;0.24246023; -0.24246023; -0.24246005; -0.24246005; -0.24246005; -0.24246005;235
 -0.00000016; -0.00000016;0.48491998;0.48491989; -0.24246021;0.24246021;0.24246021; -0.24246021; -0.24246005; -0.24246005; -0.24246005; -0.24246005;240
 -0.00000015; -0.00000015;0.48491999;0.48491991; -0.24246019;0.24246019;0.24246019; -0.24246019; -0.24246005; -0.24246005; -0.24246005; -0.24246005;245
 -0.00000013; -0.00000013;0.48492000;0.48491992; -0.24246018;0.24246018;0.24246018; -0.24246018; -0.24246004; -0.24246004; -0.24246004; -0.24246004;250
 -0.00000012; -0.00000012;0.48492001;0.48491993; -0.24246016;0.24246016;0.24246016; -0.24246016; -0.24246004; -0.24246004; -0.24246004; -0.24246004;255
 -0.00000011; -0.00000011;0.48492002;0.48491993; -0.24246015;0.24246015;0.24246015; -0.24246015; -0.24246004; -0.24246004; -0.24246004; -0.24246004;260
 -0.00000010; -0.00000010;0.48492002;0.48491994; -0.24246014;0.24246014;0.24246014; -0.24246014; -0.24246004; -0.24246004; -0.24246004; -0.24246004;265
 -0.00000009; -0.00000009;0.48492003;0.48491995; -0.24246013;0.24246013;0.24246013; -0.24246013; -0.24246004; -0.24246004; -0.24246004; -0.24246004;270
 -0.00000008; -0.00000008;0.48492004;0.48491995; -0.24246012;0.24246012;0.24246012; -0.24246012; -0.24246004; -0.24246004; -0.24246004; -0.24246004;275
 -0.00000008; -0.00000008;0.48492004;0.48491996; -0.24246011;0.24246011;0.24246011; -0.24246011; -0.24246004; -0.24246004; -0.24246004; -0.24246004;280
 -0.00000007; -0.00000007;0.48492005;0.48491996; -0.24246011;0.24246011;0.24246011; -0.24246011; -0.24246004; -0.24246004; -0.24246004; -0.24246004;285
 -0.00000006; -0.00000006;0.48492005;0.48491997; -0.24246010;0.24246010;0.24246010; -0.24246010; -0.24246004; -0.24246004; -0.24246004; -0.24246004;290
 -0.00000006; -0.00000006;0.48492005;0.48491997; -0.24246009;0.24246009;0.24246009; -0.24246009; -0.24246004; -0.24246004; -0.24246004; -0.24246004;295
 -0.00000005; -0.00000005;0.48492006;0.48491998; -0.24246009;0.24246009;0.24246009; -0.24246009; -0.24246003; -0.24246003; -0.24246003; -0.24246003;300
 -0.00000005; -0.00000005;0.48492006;0.48491998; -0.24246008;0.24246008;0.24246008; -0.24246008; -0.24246003; -0.24246003; -0.24246003; -0.24246003;305
 -0.00000005; -0.00000005;0.48492006;0.48491998; -0.24246008;0.24246008;0.24246008; -0.24246008; -0.24246003; -0.24246003; -0.24246003; -0.24246003;310
 -0.00000004; -0.00000004;0.48492007;0.48491998; -0.24246007;0.24246007;0.24246007; -0.24246007; -0.24246003; -0.24246003; -0.24246003; -0.24246003;315
 -0.00000004; -0.00000004;0.48492007;0.48491999; -0.24246007;0.24246007;0.24246007; -0.24246007; -0.24246003; -0.24246003; -0.24246003; -0.24246003;320
 -0.00000004; -0.00000004;0.48492007;0.48491999; -0.24246007;0.24246007;0.24246007; -0.24246007; -0.24246003; -0.24246003; -0.24246003; -0.24246003;325
 -0.00000003; -0.00000003;0.48492007;0.48491999; -0.24246007;0.24246007;0.24246007; -0.24246007; -0.24246003; -0.24246003; -0.24246003; -0.24246003;330
 -0.00000003; -0.00000003;0.48492007;0.48491999; -0.24246006;0.24246006;0.24246006; -0.24246006; -0.24246003; -0.24246003; -0.24246003; -0.24246003;335
 -0.00000003; -0.00000003;0.48492008;0.48491999; -0.24246006;0.24246006;0.24246006; -0.24246006; -0.24246003; -0.24246003; -0.24246003; -0.24246003;340
 -0.00000003; -0.00000003;0.48492008;0.48492000; -0.24246006;0.24246006;0.24246006; -0.24246006; -0.24246003; -0.24246003; -0.24246003; -0.24246003;345
 -0.00000002; -0.00000002;0.48492008;0.48492000; -0.24246006;0.24246006;0.24246006; -0.24246006; -0.24246003; -0.24246003; -0.24246003; -0.24246003;350
 -0.00000002; -0.00000002;0.48492008;0.48492000; -0.24246005;0.24246005;0.24246005; -0.24246005; -0.24246003; -0.24246003; -0.24246003; -0.24246003;355
 -0.00000002; -0.00000002;0.48492008;0.48492000; -0.24246005;0.24246005;0.24246005; -0.24246005; -0.24246003; -0.24246003; -0.24246003; -0.24246003;360
