a 2 a a 0 a 2 0;0 2 a 0 a a 2 a;a a 2 a 0 2 a 0;0 a 2 0 a 2 a a;a a a 0 0 2 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;0 a a a a 2 2 0;Z
 -0.34774140;0.34774140; -0.34774140;0.34774140; -0.34774355;0.34774355;0.34774355; -0.34774355;200
 -0.34774152;0.34774152; -0.34774152;0.34774152; -0.34774342;0.34774342;0.34774342; -0.34774342;205
 -0.34774162;0.34774162; -0.34774162;0.34774162; -0.34774331;0.34774331;0.34774331; -0.34774331;210
 -0.34774171;0.34774171; -0.34774171;0.34774171; -0.34774321;0.34774321;0.34774321; -0.34774321;215
 -0.34774179;0.34774179; -0.34774179;0.34774179; -0.34774313;0.34774313;0.34774313; -0.34774313;220
 -0.34774186;0.34774186; -0.34774186;0.34774186; -0.34774306;0.34774306;0.34774306; -0.34774306;225
 -0.34774192;0.34774192; -0.34774192;0.34774192; -0.34774299;0.34774299;0.34774299; -0.34774299;230
 -0.34774197;0.34774197; -0.34774197;0.34774197; -0.34774293;0.34774293;0.34774293; -0.34774293;235
 -0.34774202;0.34774202; -0.34774202;0.34774202; -0.34774288;0.34774288;0.34774288; -0.34774288;240
 -0.34774206;0.34774206; -0.34774206;0.34774206; -0.34774284;0.34774284;0.34774284; -0.34774284;245
 -0.34774209;0.34774209; -0.34774209;0.34774209; -0.34774280;0.34774280;0.34774280; -0.34774280;250
 -0.34774213;0.34774213; -0.34774213;0.34774213; -0.34774277;0.34774277;0.34774277; -0.34774277;255
 -0.34774215;0.34774215; -0.34774215;0.34774215; -0.34774274;0.34774274;0.34774274; -0.34774274;260
 -0.34774218;0.34774218; -0.34774218;0.34774218; -0.34774271;0.34774271;0.34774271; -0.34774271;265
 -0.34774220;0.34774220; -0.34774220;0.34774220; -0.34774268;0.34774268;0.34774268; -0.34774268;270
 -0.34774222;0.34774222; -0.34774222;0.34774222; -0.34774266;0.34774266;0.34774266; -0.34774266;275
 -0.34774224;0.34774224; -0.34774224;0.34774224; -0.34774264;0.34774264;0.34774264; -0.34774264;280
 -0.34774226;0.34774226; -0.34774226;0.34774226; -0.34774263;0.34774263;0.34774263; -0.34774263;285
 -0.34774227;0.34774227; -0.34774227;0.34774227; -0.34774261;0.34774261;0.34774261; -0.34774261;290
 -0.34774228;0.34774228; -0.34774228;0.34774228; -0.34774260;0.34774260;0.34774260; -0.34774260;295
