a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 a 2 0 a a 2 a;a a 2 a 0 a 2 0;a 2 2 0 a a a 0;a a a 0 a 2 2 0;0 a a a 0 2 2 a;0 2 2 a 0 a a a;Z
0.34603060; -0.34603060; -0.34603064;0.34603064;0.34604236; -0.34604236; -0.34604238;0.34604238;200
0.34603127; -0.34603127; -0.34603131;0.34603131;0.34604168; -0.34604168; -0.34604170;0.34604170;205
0.34603185; -0.34603185; -0.34603190;0.34603190;0.34604109; -0.34604109; -0.34604111;0.34604111;210
0.34603235; -0.34603235; -0.34603240;0.34603240;0.34604058; -0.34604058; -0.34604059;0.34604059;215
0.34603279; -0.34603279; -0.34603284;0.34603284;0.34604013; -0.34604013; -0.34604015;0.34604015;220
0.34603318; -0.34603318; -0.34603322;0.34603322;0.34603974; -0.34603974; -0.34603976;0.34603976;225
0.34603351; -0.34603351; -0.34603356;0.34603356;0.34603940; -0.34603940; -0.34603942;0.34603942;230
0.34603381; -0.34603381; -0.34603385;0.34603385;0.34603910; -0.34603910; -0.34603912;0.34603912;235
0.34603407; -0.34603407; -0.34603411;0.34603411;0.34603884; -0.34603884; -0.34603885;0.34603885;240
0.34603430; -0.34603430; -0.34603434;0.34603434;0.34603860; -0.34603860; -0.34603862;0.34603862;245
0.34603450; -0.34603450; -0.34603455;0.34603455;0.34603840; -0.34603840; -0.34603841;0.34603841;250
0.34603468; -0.34603468; -0.34603473;0.34603473;0.34603821; -0.34603821; -0.34603823;0.34603823;255
0.34603484; -0.34603484; -0.34603489;0.34603489;0.34603805; -0.34603805; -0.34603806;0.34603806;260
0.34603499; -0.34603499; -0.34603503;0.34603503;0.34603791; -0.34603791; -0.34603792;0.34603792;265
0.34603511; -0.34603511; -0.34603516;0.34603516;0.34603778; -0.34603778; -0.34603779;0.34603779;270
0.34603523; -0.34603523; -0.34603527;0.34603527;0.34603766; -0.34603766; -0.34603767;0.34603767;275
0.34603533; -0.34603533; -0.34603538;0.34603538;0.34603756; -0.34603756; -0.34603757;0.34603757;280
0.34603542; -0.34603542; -0.34603547;0.34603547;0.34603746; -0.34603746; -0.34603747;0.34603747;285
