a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a a a a 0 2 2 0;a 2 2 a 0 a a 0;0 a a 0 a 2 2 a;0 2 2 0 a a a a;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;Z
0.00000214; -0.00000214;0.69548494; -0.69548494; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;200
0.00000190; -0.00000190;0.69548493; -0.69548493; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;205
0.00000168; -0.00000168;0.69548493; -0.69548492; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;210
0.00000150; -0.00000150;0.69548492; -0.69548492; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;215
0.00000134; -0.00000134;0.69548491; -0.69548491; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;220
0.00000119; -0.00000119;0.69548491; -0.69548491; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;225
0.00000107; -0.00000107;0.69548491; -0.69548490; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;230
0.00000096; -0.00000096;0.69548490; -0.69548490; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;235
0.00000087; -0.00000087;0.69548490; -0.69548490; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;240
0.00000078; -0.00000078;0.69548490; -0.69548489; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;245
0.00000071; -0.00000071;0.69548489; -0.69548489; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;250
0.00000064; -0.00000064;0.69548489; -0.69548489; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;255
0.00000058; -0.00000058;0.69548489; -0.69548489; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;260
0.00000053; -0.00000053;0.69548489; -0.69548489; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;265
0.00000048; -0.00000048;0.69548489; -0.69548488; -0.00000003;0.00000003;0.00000003; -0.00000003;0.00000003;0.00000003;0.00000003;0.00000003;270
