a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
0.35096545;0.35096545; -0.35096542; -0.35096542;0.35090176;0.35090176; -0.35090173; -0.35090173;100
0.35095864;0.35095864; -0.35095863; -0.35095863;0.35090839;0.35090839; -0.35090838; -0.35090838;105
0.35095348;0.35095348; -0.35095348; -0.35095348;0.35091342;0.35091342; -0.35091342; -0.35091342;110
0.35094952;0.35094952; -0.35094952; -0.35094952;0.35091727;0.35091727; -0.35091727; -0.35091727;115
0.35094645;0.35094645; -0.35094645; -0.35094645;0.35092026;0.35092026; -0.35092026; -0.35092026;120
0.35094404;0.35094404; -0.35094404; -0.35094404;0.35092260;0.35092260; -0.35092260; -0.35092260;125
0.35094214;0.35094214; -0.35094214; -0.35094214;0.35092445;0.35092445; -0.35092445; -0.35092445;130
0.35094062;0.35094062; -0.35094062; -0.35094062;0.35092592;0.35092592; -0.35092592; -0.35092592;135
0.35093940;0.35093940; -0.35093940; -0.35093940;0.35092711;0.35092711; -0.35092711; -0.35092711;140
0.35093841;0.35093841; -0.35093841; -0.35093841;0.35092806;0.35092806; -0.35092806; -0.35092806;145
0.35093760;0.35093760; -0.35093760; -0.35093760;0.35092885;0.35092885; -0.35092885; -0.35092885;150
0.35093693;0.35093693; -0.35093693; -0.35093693;0.35092949;0.35092949; -0.35092949; -0.35092949;155
0.35093638;0.35093638; -0.35093638; -0.35093638;0.35093002;0.35093002; -0.35093002; -0.35093002;160
0.35093593;0.35093593; -0.35093593; -0.35093593;0.35093046;0.35093046; -0.35093046; -0.35093046;165
0.35093555;0.35093555; -0.35093555; -0.35093555;0.35093083;0.35093083; -0.35093083; -0.35093083;170
0.35093523;0.35093523; -0.35093523; -0.35093523;0.35093114;0.35093114; -0.35093114; -0.35093114;175
0.35093496;0.35093496; -0.35093496; -0.35093496;0.35093140;0.35093140; -0.35093140; -0.35093140;180
0.35093473;0.35093473; -0.35093473; -0.35093473;0.35093162;0.35093162; -0.35093162; -0.35093162;185
0.35093453;0.35093453; -0.35093453; -0.35093453;0.35093181;0.35093181; -0.35093181; -0.35093181;190
0.35093436;0.35093436; -0.35093436; -0.35093436;0.35093197;0.35093197; -0.35093197; -0.35093197;195
0.35093422;0.35093422; -0.35093422; -0.35093422;0.35093211;0.35093211; -0.35093211; -0.35093211;200
0.35093410;0.35093410; -0.35093410; -0.35093410;0.35093223;0.35093223; -0.35093223; -0.35093223;205
0.35093399;0.35093399; -0.35093399; -0.35093399;0.35093233;0.35093233; -0.35093233; -0.35093233;210
0.35093390;0.35093390; -0.35093390; -0.35093390;0.35093242;0.35093242; -0.35093242; -0.35093242;215
0.35093381;0.35093381; -0.35093381; -0.35093381;0.35093250;0.35093250; -0.35093250; -0.35093250;220
0.35093374;0.35093374; -0.35093374; -0.35093374;0.35093257;0.35093257; -0.35093257; -0.35093257;225
0.35093368;0.35093368; -0.35093368; -0.35093368;0.35093263;0.35093263; -0.35093263; -0.35093263;230
0.35093363;0.35093363; -0.35093363; -0.35093363;0.35093268;0.35093268; -0.35093268; -0.35093268;235
0.35093358;0.35093358; -0.35093358; -0.35093358;0.35093273;0.35093273; -0.35093273; -0.35093273;240
0.35093354;0.35093354; -0.35093354; -0.35093354;0.35093277;0.35093277; -0.35093277; -0.35093277;245
0.35093350;0.35093350; -0.35093350; -0.35093350;0.35093280;0.35093280; -0.35093280; -0.35093280;250
0.35093347;0.35093347; -0.35093347; -0.35093347;0.35093283;0.35093283; -0.35093283; -0.35093283;255
0.35093344;0.35093344; -0.35093344; -0.35093344;0.35093286;0.35093286; -0.35093286; -0.35093286;260
0.35093341;0.35093341; -0.35093341; -0.35093341;0.35093289;0.35093289; -0.35093289; -0.35093289;265
0.35093339;0.35093339; -0.35093339; -0.35093339;0.35093291;0.35093291; -0.35093291; -0.35093291;270
0.35093336;0.35093336; -0.35093336; -0.35093336;0.35093293;0.35093293; -0.35093293; -0.35093293;275
0.35093335;0.35093335; -0.35093335; -0.35093335;0.35093295;0.35093295; -0.35093295; -0.35093295;280
0.35093333;0.35093333; -0.35093333; -0.35093333;0.35093297;0.35093297; -0.35093297; -0.35093297;285
0.35093331;0.35093331; -0.35093331; -0.35093331;0.35093298;0.35093298; -0.35093298; -0.35093298;290
0.35093330;0.35093330; -0.35093330; -0.35093330;0.35093299;0.35093299; -0.35093299; -0.35093299;295
0.35093329;0.35093329; -0.35093329; -0.35093329;0.35093301;0.35093301; -0.35093301; -0.35093301;300
0.35093328;0.35093328; -0.35093328; -0.35093328;0.35093302;0.35093302; -0.35093302; -0.35093302;305
0.35093327;0.35093327; -0.35093327; -0.35093327;0.35093303;0.35093303; -0.35093303; -0.35093303;310
0.35093326;0.35093326; -0.35093326; -0.35093326;0.35093304;0.35093304; -0.35093304; -0.35093304;315
0.35093325;0.35093325; -0.35093325; -0.35093325;0.35093304;0.35093304; -0.35093304; -0.35093304;320
0.35093324;0.35093324; -0.35093324; -0.35093324;0.35093305;0.35093305; -0.35093305; -0.35093305;325
0.35093323;0.35093323; -0.35093323; -0.35093323;0.35093306;0.35093306; -0.35093306; -0.35093306;330
0.35093323;0.35093323; -0.35093323; -0.35093323;0.35093306;0.35093306; -0.35093306; -0.35093306;335
0.35093322;0.35093322; -0.35093322; -0.35093322;0.35093307;0.35093307; -0.35093307; -0.35093307;340
0.35093321;0.35093321; -0.35093321; -0.35093321;0.35093307;0.35093307; -0.35093307; -0.35093307;345
0.35093321;0.35093321; -0.35093321; -0.35093321;0.35093308;0.35093308; -0.35093308; -0.35093308;350
0.35093321;0.35093321; -0.35093321; -0.35093321;0.35093308;0.35093308; -0.35093308; -0.35093308;355
0.35093320;0.35093320; -0.35093320; -0.35093320;0.35093309;0.35093309; -0.35093309; -0.35093309;360
0.35093320;0.35093320; -0.35093320; -0.35093320;0.35093309;0.35093309; -0.35093309; -0.35093309;365
0.35093319;0.35093319; -0.35093319; -0.35093319;0.35093310;0.35093310; -0.35093310; -0.35093310;370
0.35093319;0.35093319; -0.35093319; -0.35093319;0.35093310;0.35093310; -0.35093310; -0.35093310;375
0.35093319;0.35093319; -0.35093319; -0.35093319;0.35093310;0.35093310; -0.35093310; -0.35093310;380
0.35093318;0.35093318; -0.35093318; -0.35093318;0.35093310;0.35093310; -0.35093310; -0.35093310;385
0.35093318;0.35093318; -0.35093318; -0.35093318;0.35093311;0.35093311; -0.35093311; -0.35093311;390
0.35093318;0.35093318; -0.35093318; -0.35093318;0.35093311;0.35093311; -0.35093311; -0.35093311;395
0.35093318;0.35093318; -0.35093318; -0.35093318;0.35093311;0.35093311; -0.35093311; -0.35093311;400
0.35093318;0.35093318; -0.35093318; -0.35093318;0.35093311;0.35093311; -0.35093311; -0.35093311;405
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093311;0.35093311; -0.35093311; -0.35093311;410
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093312;0.35093312; -0.35093312; -0.35093312;415
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093312;0.35093312; -0.35093312; -0.35093312;420
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093312;0.35093312; -0.35093312; -0.35093312;425
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093312;0.35093312; -0.35093312; -0.35093312;430
0.35093317;0.35093317; -0.35093317; -0.35093317;0.35093312;0.35093312; -0.35093312; -0.35093312;435
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093312;0.35093312; -0.35093312; -0.35093312;440
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093312;0.35093312; -0.35093312; -0.35093312;445
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;450
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;455
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;460
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;465
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;470
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;475
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;480
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;485
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;490
0.35093316;0.35093316; -0.35093316; -0.35093316;0.35093313;0.35093313; -0.35093313; -0.35093313;495
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;500
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;505
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;510
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;515
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;520
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093313;0.35093313; -0.35093313; -0.35093313;525
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;530
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;535
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;540
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;545
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;550
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;555
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;560
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;565
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;570
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;575
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;580
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;585
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;590
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;595
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;600
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;605
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;610
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;615
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;620
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;625
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;630
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;635
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;640
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;645
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;650
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;655
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;660
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;665
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;670
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;675
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;680
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;685
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;690
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;695
0.35093315;0.35093315; -0.35093315; -0.35093315;0.35093314;0.35093314; -0.35093314; -0.35093314;700
