a a 2 0 a a 2 0;0 2 a a 0 2 a a;0 a 2 a 0 a 2 a;a 2 a 0 a 2 a 0;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 2 a a a a 2 0;0 a 2 a a 2 a 0;a 2 a 0 0 a 2 a;a a 2 0 0 2 a a;Z
0.35240323;0.35240326;0.35266386;0.35266391;0.35279231; -0.35279228; -0.35279228;0.35279225; -0.00016212; -0.00016212; -0.00016212; -0.00016212;100
0.35246620;0.35246624;0.35265507;0.35265513;0.35276540; -0.35276539; -0.35276539;0.35276539; -0.00013680; -0.00013680; -0.00013680; -0.00013680;105
0.35251673;0.35251676;0.35264574;0.35264580;0.35274494; -0.35274494; -0.35274494;0.35274494; -0.00012023; -0.00012023; -0.00012023; -0.00012023;110
0.35255879;0.35255882;0.35263537;0.35263543;0.35272919; -0.35272919; -0.35272919;0.35272919; -0.00011070; -0.00011070; -0.00011070; -0.00011070;115
0.35259536;0.35259539;0.35262344;0.35262350;0.35271693; -0.35271693; -0.35271693;0.35271693; -0.00010717; -0.00010717; -0.00010717; -0.00010717;120
0.35262862;0.35262865;0.35260952;0.35260958;0.35270731; -0.35270731; -0.35270731;0.35270731; -0.00010895; -0.00010895; -0.00010895; -0.00010895;125
0.35266039;0.35266042;0.35259308;0.35259314;0.35269967; -0.35269967; -0.35269967;0.35269967; -0.00011578; -0.00011578; -0.00011578; -0.00011578;130
0.35269214;0.35269217;0.35257358;0.35257364;0.35269356; -0.35269356; -0.35269356;0.35269356; -0.00012760; -0.00012760; -0.00012760; -0.00012760;135
0.35272510;0.35272513;0.35255048;0.35255054;0.35268864; -0.35268864; -0.35268864;0.35268864; -0.00014451; -0.00014451; -0.00014451; -0.00014451;140
0.35276042;0.35276045;0.35252315;0.35252321;0.35268463; -0.35268463; -0.35268463;0.35268463; -0.00016681; -0.00016681; -0.00016681; -0.00016681;145
0.35279916;0.35279920;0.35249093;0.35249099;0.35268135; -0.35268135; -0.35268135;0.35268135; -0.00019493; -0.00019493; -0.00019493; -0.00019493;150
0.35284242;0.35284245;0.35245303;0.35245308;0.35267865; -0.35267865; -0.35267865;0.35267865; -0.00022944; -0.00022944; -0.00022944; -0.00022944;155
0.35289114;0.35289117;0.35240871;0.35240876;0.35267639; -0.35267639; -0.35267639;0.35267639; -0.00027095; -0.00027095; -0.00027095; -0.00027095;160
0.35294635;0.35294638;0.35235712;0.35235718;0.35267450; -0.35267450; -0.35267450;0.35267450; -0.00032017; -0.00032017; -0.00032017; -0.00032017;165
0.35300937;0.35300940;0.35229709;0.35229715;0.35267289; -0.35267289; -0.35267289;0.35267289; -0.00037821; -0.00037821; -0.00037821; -0.00037821;170
0.35308111;0.35308114;0.35222781;0.35222786;0.35267151; -0.35267151; -0.35267151;0.35267151; -0.00044579; -0.00044579; -0.00044579; -0.00044579;175
0.35316308;0.35316311;0.35214783;0.35214788;0.35267030; -0.35267030; -0.35267030;0.35267030; -0.00052428; -0.00052428; -0.00052428; -0.00052428;180
0.35325646;0.35325649;0.35205603;0.35205609;0.35266922; -0.35266922; -0.35266922;0.35266922; -0.00061476; -0.00061476; -0.00061476; -0.00061476;185
0.35336245;0.35336248;0.35195124;0.35195130;0.35266823; -0.35266823; -0.35266823;0.35266823; -0.00071836; -0.00071836; -0.00071836; -0.00071836;190
0.35348263;0.35348266;0.35183191;0.35183197;0.35266729; -0.35266729; -0.35266729;0.35266729; -0.00083658; -0.00083658; -0.00083658; -0.00083658;195
0.35361919;0.35361922;0.35169584;0.35169590;0.35266636; -0.35266636; -0.35266636;0.35266636; -0.00097157; -0.00097157; -0.00097157; -0.00097157;200
0.35377308;0.35377311;0.35154205;0.35154211;0.35266540; -0.35266540; -0.35266540;0.35266540; -0.00112428; -0.00112428; -0.00112428; -0.00112428;205
0.35394658;0.35394662;0.35136824;0.35136830;0.35266437; -0.35266437; -0.35266437;0.35266437; -0.00129695; -0.00129695; -0.00129695; -0.00129695;210
0.35414135;0.35414138;0.35117270;0.35117275;0.35266322; -0.35266322; -0.35266322;0.35266322; -0.00149125; -0.00149125; -0.00149125; -0.00149125;215
0.35435986;0.35435990;0.35095287;0.35095292;0.35266189; -0.35266189; -0.35266189;0.35266189; -0.00170968; -0.00170968; -0.00170968; -0.00170968;220
0.35460403;0.35460406;0.35070674;0.35070680;0.35266034; -0.35266034; -0.35266034;0.35266034; -0.00195417; -0.00195417; -0.00195417; -0.00195417;225
0.35487688;0.35487691;0.35043116;0.35043121;0.35265846; -0.35265846; -0.35265846;0.35265846; -0.00222782; -0.00222782; -0.00222782; -0.00222782;230
0.35518004;0.35518007;0.35012433;0.35012439;0.35265618; -0.35265618; -0.35265618;0.35265618; -0.00253231; -0.00253231; -0.00253231; -0.00253231;235
0.35551693;0.35551697;0.34978264;0.34978270;0.35265339; -0.35265339; -0.35265339;0.35265339; -0.00287116; -0.00287116; -0.00287116; -0.00287116;240
0.35588969;0.35588972;0.34940372;0.34940378;0.35264996; -0.35264996; -0.35264996;0.35264996; -0.00324660; -0.00324660; -0.00324660; -0.00324660;245
0.35630276;0.35630279;0.34898279;0.34898285;0.35264572; -0.35264572; -0.35264572;0.35264572; -0.00366326; -0.00366326; -0.00366326; -0.00366326;250
0.35675627;0.35675630;0.34851944;0.34851950;0.35264053; -0.35264053; -0.35264053;0.35264053; -0.00412138; -0.00412138; -0.00412138; -0.00412138;255
0.35725762;0.35725765;0.34800575;0.34800581;0.35263412; -0.35263412; -0.35263412;0.35263412; -0.00462863; -0.00462863; -0.00462863; -0.00462863;260
0.35780772;0.35780775;0.34744036;0.34744041;0.35262625; -0.35262625; -0.35262625;0.35262625; -0.00518613; -0.00518613; -0.00518613; -0.00518613;265
0.35841125;0.35841128;0.34681793;0.34681799;0.35261661; -0.35261661; -0.35261661;0.35261661; -0.00579889; -0.00579889; -0.00579889; -0.00579889;270
0.35907135;0.35907138;0.34613464;0.34613470;0.35260484; -0.35260484; -0.35260484;0.35260484; -0.00647039; -0.00647039; -0.00647039; -0.00647039;275
0.35979317;0.35979321;0.34538443;0.34538448;0.35259049; -0.35259049; -0.35259049;0.35259049; -0.00720624; -0.00720624; -0.00720624; -0.00720624;280
0.36057609;0.36057613;0.34456713;0.34456719;0.35257316; -0.35257316; -0.35257316;0.35257316; -0.00800619; -0.00800619; -0.00800619; -0.00800619;285
0.36143192;0.36143195;0.34366945;0.34366950;0.35255210; -0.35255210; -0.35255210;0.35255210; -0.00888280; -0.00888280; -0.00888280; -0.00888280;290
0.36236113;0.36236116;0.34268967;0.34268973;0.35252671; -0.35252671; -0.35252671;0.35252671; -0.00983716; -0.00983716; -0.00983716; -0.00983716;295
0.36337036;0.36337039;0.34161946;0.34161951;0.35249611; -0.35249611; -0.35249611;0.35249611; -0.01087677; -0.01087677; -0.01087677; -0.01087677;300
0.36445882;0.36445886;0.34045808;0.34045813;0.35245956; -0.35245956; -0.35245956;0.35245956; -0.01200159; -0.01200159; -0.01200159; -0.01200159;305
0.36563730;0.36563734;0.33919222;0.33919227;0.35241578; -0.35241578; -0.35241578;0.35241578; -0.01322366; -0.01322366; -0.01322366; -0.01322366;310
0.36691075;0.36691079;0.33781437;0.33781443;0.35236351; -0.35236351; -0.35236351;0.35236351; -0.01454922; -0.01454922; -0.01454922; -0.01454922;315
