0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;a a 2 0 0 2 a a;0 2 a a a a 2 0;a 2 a 0 0 a 2 a;0 a 2 a a 2 a 0;Z
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495765;0.34495762;0.34495761;0.34495758;0.34495762;0.34495762; -0.34495762; -0.34495762;100
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495777;0.34495777;0.34495777;0.34495776;0.34495777;0.34495777; -0.34495777; -0.34495777;105
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495789;0.34495789;0.34495789;0.34495789;0.34495789;0.34495789; -0.34495789; -0.34495789;110
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495799;0.34495799;0.34495799;0.34495799;0.34495799;0.34495799; -0.34495799; -0.34495799;115
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495806;0.34495806;0.34495806;0.34495806;0.34495806;0.34495806; -0.34495806; -0.34495806;120
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495813;0.34495813;0.34495813;0.34495813;0.34495813;0.34495813; -0.34495813; -0.34495813;125
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495818;0.34495818;0.34495818;0.34495818;0.34495818;0.34495818; -0.34495818; -0.34495818;130
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495822;0.34495822;0.34495822;0.34495822;0.34495822;0.34495822; -0.34495822; -0.34495822;135
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495826;0.34495826;0.34495826;0.34495826;0.34495826;0.34495826; -0.34495826; -0.34495826;140
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495828;0.34495828;0.34495828;0.34495828;0.34495828;0.34495828; -0.34495828; -0.34495828;145
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495831;0.34495831;0.34495831;0.34495831;0.34495831;0.34495831; -0.34495831; -0.34495831;150
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495833;0.34495833;0.34495833;0.34495833;0.34495833;0.34495833; -0.34495833; -0.34495833;155
0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495834;0.34495834;0.34495834;0.34495834;0.34495834;0.34495834; -0.34495834; -0.34495834;160
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495836;0.34495836;0.34495836;0.34495836;0.34495836;0.34495836; -0.34495836; -0.34495836;165
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495837;0.34495837;0.34495837;0.34495837;0.34495837;0.34495837; -0.34495837; -0.34495837;170
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495838;0.34495838;0.34495838;0.34495838;0.34495838;0.34495838; -0.34495838; -0.34495838;175
0.00000000; -0.00000000; -0.00000000;0.00000000;0.34495839;0.34495839;0.34495839;0.34495839;0.34495839;0.34495839; -0.34495839; -0.34495839;180
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495840;0.34495840;0.34495840;0.34495840;0.34495840;0.34495840; -0.34495840; -0.34495840;185
0.00000000; -0.00000000; -0.00000000;0.00000000;0.34495840;0.34495840;0.34495840;0.34495840;0.34495840;0.34495840; -0.34495840; -0.34495840;190
0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495841;0.34495841;0.34495841;0.34495841;0.34495841;0.34495841; -0.34495841; -0.34495841;195
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495841;0.34495841;0.34495841;0.34495841;0.34495841;0.34495841; -0.34495841; -0.34495841;200
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;205
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;210
0.00000000;0.00000000;0.00000000;0.00000000;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842;0.34495842; -0.34495842; -0.34495842;215
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;220
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;225
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;230
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;235
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843;0.34495843; -0.34495843; -0.34495843;240
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;245
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;250
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;255
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;260
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;265
0.00000000; -0.00000000; -0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;270
 -0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;275
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;280
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;285
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;290
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;295
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;300
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;305
0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844;0.34495844; -0.34495844; -0.34495844;310
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;315
 -0.00000000; -0.00000000;0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;320
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;325
 -0.00000000;0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;330
 -0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;335
 -0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;340
0.00000000; -0.00000000;0.00000000;0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;345
0.00000000;0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;350
0.00000000; -0.00000000; -0.00000000; -0.00000000;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845;0.34495845; -0.34495845; -0.34495845;355
