a a 2 a 0 a 2 0;0 a 2 0 a a 2 a;a 2 a a 0 2 a 0;0 2 a 0 a 2 a a;0 2 2 a 0 a a a;a 2 2 0 a a a 0;0 a a a 0 2 2 a;a a a 0 a 2 2 0;Z
0.34800833; -0.34800829; -0.34800837;0.34800832; -0.34806100;0.34806107;0.34806096; -0.34806103;100
0.34801428; -0.34801427; -0.34801431;0.34801431; -0.34805530;0.34805537;0.34805530; -0.34805537;105
0.34801873; -0.34801873; -0.34801877;0.34801877; -0.34805107;0.34805114;0.34805107; -0.34805114;110
0.34802211; -0.34802211; -0.34802214;0.34802214; -0.34804787;0.34804794;0.34804787; -0.34804794;115
0.34802469; -0.34802469; -0.34802473;0.34802473; -0.34804542;0.34804549;0.34804542; -0.34804549;120
0.34802670; -0.34802670; -0.34802673;0.34802673; -0.34804353;0.34804360;0.34804353; -0.34804360;125
0.34802827; -0.34802827; -0.34802830;0.34802830; -0.34804205;0.34804212;0.34804205; -0.34804212;130
0.34802951; -0.34802951; -0.34802954;0.34802954; -0.34804088;0.34804095;0.34804088; -0.34804095;135
0.34803050; -0.34803050; -0.34803053;0.34803053; -0.34803995;0.34804002;0.34803995; -0.34804002;140
0.34803130; -0.34803130; -0.34803133;0.34803133; -0.34803920;0.34803927;0.34803920; -0.34803927;145
0.34803194; -0.34803194; -0.34803198;0.34803198; -0.34803860;0.34803867;0.34803860; -0.34803867;150
0.34803247; -0.34803247; -0.34803250;0.34803250; -0.34803810;0.34803817;0.34803810; -0.34803817;155
0.34803290; -0.34803290; -0.34803294;0.34803294; -0.34803770;0.34803777;0.34803770; -0.34803777;160
0.34803326; -0.34803326; -0.34803330;0.34803330; -0.34803736;0.34803743;0.34803736; -0.34803743;165
0.34803356; -0.34803356; -0.34803360;0.34803360; -0.34803708;0.34803715;0.34803708; -0.34803715;170
0.34803381; -0.34803381; -0.34803384;0.34803384; -0.34803685;0.34803692;0.34803685; -0.34803692;175
0.34803402; -0.34803402; -0.34803405;0.34803405; -0.34803665;0.34803672;0.34803665; -0.34803672;180
0.34803420; -0.34803420; -0.34803423;0.34803423; -0.34803649;0.34803656;0.34803649; -0.34803656;185
0.34803435; -0.34803435; -0.34803438;0.34803438; -0.34803635;0.34803642;0.34803635; -0.34803642;190
0.34803448; -0.34803448; -0.34803451;0.34803451; -0.34803623;0.34803630;0.34803623; -0.34803630;195
0.34803459; -0.34803459; -0.34803462;0.34803462; -0.34803613;0.34803620;0.34803613; -0.34803620;200
0.34803468; -0.34803468; -0.34803472;0.34803472; -0.34803604;0.34803611;0.34803604; -0.34803611;205
0.34803476; -0.34803476; -0.34803480;0.34803480; -0.34803596;0.34803603;0.34803596; -0.34803603;210
0.34803483; -0.34803483; -0.34803487;0.34803487; -0.34803590;0.34803597;0.34803590; -0.34803597;215
 -0.34803489;0.34803489;0.34803493; -0.34803493;0.34803584; -0.34803591; -0.34803584;0.34803591;220
 -0.34803495;0.34803495;0.34803498; -0.34803498;0.34803579; -0.34803586; -0.34803579;0.34803586;225
 -0.34803499;0.34803499;0.34803503; -0.34803503;0.34803575; -0.34803582; -0.34803575;0.34803582;230
 -0.34803504;0.34803504;0.34803507; -0.34803507;0.34803571; -0.34803578; -0.34803571;0.34803578;235
 -0.34803507;0.34803507;0.34803511; -0.34803511;0.34803568; -0.34803574; -0.34803568;0.34803574;240
 -0.34803510;0.34803510;0.34803514; -0.34803514;0.34803565; -0.34803572; -0.34803565;0.34803572;245
 -0.34803513;0.34803513;0.34803517; -0.34803517;0.34803562; -0.34803569; -0.34803562;0.34803569;250
 -0.34803516;0.34803516;0.34803519; -0.34803519;0.34803560; -0.34803567; -0.34803560;0.34803567;255
 -0.34803518;0.34803518;0.34803521; -0.34803521;0.34803558; -0.34803565; -0.34803558;0.34803565;260
 -0.34803520;0.34803520;0.34803523; -0.34803523;0.34803556; -0.34803563; -0.34803556;0.34803563;265
 -0.34803522;0.34803522;0.34803525; -0.34803525;0.34803554; -0.34803561; -0.34803554;0.34803561;270
 -0.34803523;0.34803523;0.34803527; -0.34803527;0.34803553; -0.34803560; -0.34803553;0.34803560;275
 -0.34803525;0.34803525;0.34803528; -0.34803528;0.34803552; -0.34803558; -0.34803552;0.34803558;280
 -0.34803526;0.34803526;0.34803529; -0.34803529;0.34803550; -0.34803557; -0.34803550;0.34803557;285
 -0.34803527;0.34803527;0.34803530; -0.34803530;0.34803549; -0.34803556; -0.34803549;0.34803556;290
 -0.34803528;0.34803528;0.34803531; -0.34803531;0.34803548; -0.34803555; -0.34803548;0.34803555;295
 -0.34803529;0.34803529;0.34803532; -0.34803532;0.34803548; -0.34803554; -0.34803548;0.34803554;300
 -0.34803530;0.34803530;0.34803533; -0.34803533;0.34803547; -0.34803554; -0.34803547;0.34803554;305
 -0.34803531;0.34803531;0.34803534; -0.34803534;0.34803546; -0.34803553; -0.34803546;0.34803553;310
 -0.34803531;0.34803531;0.34803535; -0.34803535;0.34803545; -0.34803552; -0.34803545;0.34803552;315
