0 2 a a 0 2 a a;a a 2 0 a a 2 0;a 2 a 0 a 2 a 0;0 a 2 a 0 a 2 a;a 2 2 a 0 a a 0;a a a a 0 2 2 0;0 2 2 0 a a a a;0 a a 0 a 2 2 a;0 a 2 a a 2 a 0;0 2 a a a a 2 0;a a 2 0 0 2 a a;a 2 a 0 0 a 2 a;Z
 -0.00000794; -0.00000794;0.48561742;0.48561728; -0.24282062;0.24282060;0.24282059; -0.24282057; -0.24281265; -0.24281265; -0.24281265; -0.24281265;100
 -0.00000613; -0.00000613;0.48561955;0.48561941; -0.24281895;0.24281894;0.24281894; -0.24281894; -0.24281281; -0.24281281; -0.24281281; -0.24281281;105
 -0.00000480; -0.00000480;0.48562113;0.48562099; -0.24281774;0.24281774;0.24281774; -0.24281773; -0.24281293; -0.24281293; -0.24281293; -0.24281293;110
 -0.00000380; -0.00000380;0.48562233;0.48562219; -0.24281684;0.24281684;0.24281684; -0.24281684; -0.24281303; -0.24281303; -0.24281303; -0.24281303;115
 -0.00000305; -0.00000305;0.48562325;0.48562311; -0.24281616;0.24281616;0.24281616; -0.24281616; -0.24281311; -0.24281311; -0.24281311; -0.24281311;120
 -0.00000246; -0.00000246;0.48562396;0.48562382; -0.24281564;0.24281564;0.24281564; -0.24281564; -0.24281318; -0.24281318; -0.24281318; -0.24281318;125
 -0.00000201; -0.00000201;0.48562452;0.48562437; -0.24281524;0.24281524;0.24281524; -0.24281524; -0.24281323; -0.24281323; -0.24281323; -0.24281323;130
 -0.00000165; -0.00000165;0.48562496;0.48562482; -0.24281492;0.24281492;0.24281492; -0.24281492; -0.24281327; -0.24281327; -0.24281327; -0.24281327;135
 -0.00000137; -0.00000137;0.48562531;0.48562517; -0.24281468;0.24281468;0.24281468; -0.24281468; -0.24281330; -0.24281330; -0.24281330; -0.24281330;140
 -0.00000114; -0.00000114;0.48562559;0.48562545; -0.24281448;0.24281448;0.24281448; -0.24281448; -0.24281333; -0.24281333; -0.24281333; -0.24281333;145
 -0.00000096; -0.00000096;0.48562582;0.48562568; -0.24281432;0.24281432;0.24281432; -0.24281432; -0.24281336; -0.24281336; -0.24281336; -0.24281336;150
 -0.00000081; -0.00000081;0.48562601;0.48562587; -0.24281419;0.24281419;0.24281419; -0.24281419; -0.24281338; -0.24281338; -0.24281338; -0.24281338;155
 -0.00000069; -0.00000069;0.48562617;0.48562603; -0.24281409;0.24281409;0.24281409; -0.24281409; -0.24281339; -0.24281339; -0.24281339; -0.24281339;160
