a a 2 0 0 a 2 a;0 a 2 a a a 2 0;0 2 a a 0 a 2 a;0 a 2 a 0 2 a a;a 2 a 0 a a 2 0;a a 2 0 a 2 a 0;a 2 a 0 0 2 a a;0 2 a a a 2 a 0;Z
 -0.34626519; -0.34626518; -0.34626521; -0.34626520;0.34626524;0.34626524;0.34626525;0.34626526;100
 -0.34626534; -0.34626534; -0.34626536; -0.34626536;0.34626539;0.34626539;0.34626541;0.34626541;105
 -0.34626546; -0.34626546; -0.34626548; -0.34626548;0.34626551;0.34626551;0.34626553;0.34626553;110
 -0.34626556; -0.34626556; -0.34626557; -0.34626557;0.34626561;0.34626561;0.34626563;0.34626563;115
 -0.34626563; -0.34626563; -0.34626565; -0.34626565;0.34626568;0.34626568;0.34626570;0.34626570;120
 -0.34626569; -0.34626569; -0.34626571; -0.34626571;0.34626575;0.34626575;0.34626576;0.34626576;125
 -0.34626574; -0.34626574; -0.34626576; -0.34626576;0.34626579;0.34626579;0.34626581;0.34626581;130
 -0.34626578; -0.34626578; -0.34626580; -0.34626580;0.34626583;0.34626583;0.34626585;0.34626585;135
 -0.34626582; -0.34626582; -0.34626583; -0.34626583;0.34626587;0.34626587;0.34626588;0.34626588;140
 -0.34626584; -0.34626584; -0.34626586; -0.34626586;0.34626589;0.34626589;0.34626591;0.34626591;145
 -0.34626587; -0.34626587; -0.34626588; -0.34626588;0.34626592;0.34626592;0.34626593;0.34626593;150
 -0.34626588; -0.34626588; -0.34626590; -0.34626590;0.34626593;0.34626593;0.34626595;0.34626595;155
 -0.34626590; -0.34626590; -0.34626592; -0.34626592;0.34626595;0.34626595;0.34626597;0.34626597;160
 -0.34626591; -0.34626591; -0.34626593; -0.34626593;0.34626596;0.34626596;0.34626598;0.34626598;165
 -0.34626592; -0.34626592; -0.34626594; -0.34626594;0.34626597;0.34626597;0.34626599;0.34626599;170
 -0.34626593; -0.34626593; -0.34626595; -0.34626595;0.34626598;0.34626598;0.34626600;0.34626600;175
 -0.34626594; -0.34626594; -0.34626596; -0.34626596;0.34626599;0.34626599;0.34626601;0.34626601;180
 -0.34626595; -0.34626595; -0.34626596; -0.34626596;0.34626600;0.34626600;0.34626601;0.34626601;185
