a a 2 a 0 2 a 0;a 2 a a 0 a 2 0;0 a 2 0 a 2 a a;0 2 a 0 a a 2 a;a 2 2 0 0 a a a;0 2 2 a a a a 0;a a a 0 0 2 2 a;0 a a a a 2 2 0;Z
 -0.34800835; -0.34800835;0.34800830;0.34800830;0.34806103;0.34806103; -0.34806100; -0.34806100;100
 -0.34801430; -0.34801430;0.34801429;0.34801429;0.34805534;0.34805534; -0.34805533; -0.34805533;105
 -0.34801875; -0.34801875;0.34801875;0.34801875;0.34805110;0.34805110; -0.34805110; -0.34805110;110
 -0.34802213; -0.34802213;0.34802213;0.34802213;0.34804790;0.34804790; -0.34804790; -0.34804790;115
 -0.34802471; -0.34802471;0.34802471;0.34802471;0.34804546;0.34804546; -0.34804546; -0.34804546;120
 -0.34802672; -0.34802672;0.34802672;0.34802672;0.34804357;0.34804357; -0.34804357; -0.34804357;125
 -0.34802829; -0.34802829;0.34802829;0.34802829;0.34804209;0.34804209; -0.34804209; -0.34804209;130
 -0.34802953; -0.34802953;0.34802953;0.34802953;0.34804092;0.34804092; -0.34804092; -0.34804092;135
 -0.34803052; -0.34803052;0.34803052;0.34803052;0.34803999;0.34803999; -0.34803999; -0.34803999;140
 -0.34803131; -0.34803131;0.34803131;0.34803131;0.34803924;0.34803924; -0.34803924; -0.34803924;145
 -0.34803196; -0.34803196;0.34803196;0.34803196;0.34803863;0.34803863; -0.34803863; -0.34803863;150
 -0.34803249; -0.34803249;0.34803249;0.34803249;0.34803814;0.34803814; -0.34803814; -0.34803814;155
 -0.34803292; -0.34803292;0.34803292;0.34803292;0.34803773;0.34803773; -0.34803773; -0.34803773;160
 -0.34803328; -0.34803328;0.34803328;0.34803328;0.34803740;0.34803740; -0.34803740; -0.34803740;165
 -0.34803358; -0.34803358;0.34803358;0.34803358;0.34803712;0.34803712; -0.34803712; -0.34803712;170
 -0.34803383; -0.34803383;0.34803383;0.34803383;0.34803688;0.34803688; -0.34803688; -0.34803688;175
 -0.34803404; -0.34803404;0.34803404;0.34803404;0.34803669;0.34803669; -0.34803669; -0.34803669;180
 -0.34803421; -0.34803421;0.34803421;0.34803421;0.34803652;0.34803652; -0.34803652; -0.34803652;185
 -0.34803437; -0.34803437;0.34803437;0.34803437;0.34803638;0.34803638; -0.34803638; -0.34803638;190
 -0.34803449; -0.34803449;0.34803449;0.34803449;0.34803626;0.34803626; -0.34803626; -0.34803626;195
 -0.34803460; -0.34803460;0.34803460;0.34803460;0.34803616;0.34803616; -0.34803616; -0.34803616;200
 -0.34803470; -0.34803470;0.34803470;0.34803470;0.34803607;0.34803607; -0.34803607; -0.34803607;205
 -0.34803478; -0.34803478;0.34803478;0.34803478;0.34803600;0.34803600; -0.34803600; -0.34803600;210
 -0.34803485; -0.34803485;0.34803485;0.34803485;0.34803593;0.34803593; -0.34803593; -0.34803593;215
 -0.34803491; -0.34803491;0.34803491;0.34803491;0.34803588;0.34803588; -0.34803588; -0.34803588;220
 -0.34803497; -0.34803497;0.34803497;0.34803497;0.34803583;0.34803583; -0.34803583; -0.34803583;225
 -0.34803501; -0.34803501;0.34803501;0.34803501;0.34803578;0.34803578; -0.34803578; -0.34803578;230
 -0.34803505; -0.34803505;0.34803505;0.34803505;0.34803574;0.34803574; -0.34803574; -0.34803574;235
 -0.34803509; -0.34803509;0.34803509;0.34803509;0.34803571;0.34803571; -0.34803571; -0.34803571;240
 -0.34803512; -0.34803512;0.34803512;0.34803512;0.34803568;0.34803568; -0.34803568; -0.34803568;245
 -0.34803515; -0.34803515;0.34803515;0.34803515;0.34803566;0.34803566; -0.34803566; -0.34803566;250
 -0.34803517; -0.34803517;0.34803517;0.34803517;0.34803563;0.34803563; -0.34803563; -0.34803563;255
 -0.34803520; -0.34803520;0.34803520;0.34803520;0.34803561;0.34803561; -0.34803561; -0.34803561;260
 -0.34803522; -0.34803522;0.34803522;0.34803522;0.34803559;0.34803559; -0.34803559; -0.34803559;265
 -0.34803523; -0.34803523;0.34803523;0.34803523;0.34803558;0.34803558; -0.34803558; -0.34803558;270
 -0.34803525; -0.34803525;0.34803525;0.34803525;0.34803556;0.34803556; -0.34803556; -0.34803556;275
 -0.34803526; -0.34803526;0.34803526;0.34803526;0.34803555;0.34803555; -0.34803555; -0.34803555;280
 -0.34803528; -0.34803528;0.34803528;0.34803528;0.34803554;0.34803554; -0.34803554; -0.34803554;285
 -0.34803529; -0.34803529;0.34803529;0.34803529;0.34803553;0.34803553; -0.34803553; -0.34803553;290
 -0.34803530; -0.34803530;0.34803530;0.34803530;0.34803552;0.34803552; -0.34803552; -0.34803552;295
 -0.34803531; -0.34803531;0.34803531;0.34803531;0.34803551;0.34803551; -0.34803551; -0.34803551;300
 -0.34803531; -0.34803531;0.34803531;0.34803531;0.34803550;0.34803550; -0.34803550; -0.34803550;305
 -0.34803532; -0.34803532;0.34803532;0.34803532;0.34803549;0.34803549; -0.34803549; -0.34803549;310
 -0.34803533; -0.34803533;0.34803533;0.34803533;0.34803549;0.34803549; -0.34803549; -0.34803549;315
 -0.34803534; -0.34803534;0.34803534;0.34803534;0.34803548;0.34803548; -0.34803548; -0.34803548;320
 -0.34803534; -0.34803534;0.34803534;0.34803534;0.34803548;0.34803548; -0.34803548; -0.34803548;325
 -0.34803535; -0.34803535;0.34803535;0.34803535;0.34803547;0.34803547; -0.34803547; -0.34803547;330
 -0.34803535; -0.34803535;0.34803535;0.34803535;0.34803547;0.34803547; -0.34803547; -0.34803547;335
 -0.34803536; -0.34803536;0.34803536;0.34803536;0.34803546;0.34803546; -0.34803546; -0.34803546;340
